"item_id","location_id","_date"
"500-045867",14,"2022-01-01"
"500-064558",14,"2022-01-01"
"500-066339",14,"2022-01-01"
"500-045019",14,"2022-01-01"
"500-002953",14,"2022-01-01"
"500-008065",14,"2022-01-01"
"500-037356",14,"2022-01-01"
"500-058828",14,"2022-01-01"
"500-005663",14,"2022-01-01"
"500-035886",14,"2022-01-01"
"500-036796",14,"2022-01-01"
"500-030084",14,"2022-01-01"
"500-001643",14,"2022-01-01"
"500-044968",14,"2022-01-01"
"500-035464",14,"2022-01-01"
"500-008136",14,"2022-01-01"
"500-037205",14,"2022-01-01"
"500-005730",14,"2022-01-01"
"500-029477",14,"2022-01-01"
"500-049710",14,"2022-01-01"
"500-040065",14,"2022-01-01"
"500-063345",14,"2022-01-01"
"500-059927",14,"2022-01-01"
"500-034438",14,"2022-01-01"
"500-052582",14,"2022-01-01"
"500-041847",14,"2022-01-01"
"500-052833",14,"2022-01-01"
"500-045485",14,"2022-01-01"
"500-059119",14,"2022-01-01"
"500-017297",14,"2022-01-01"
"500-011834",14,"2022-01-01"
"500-016704",14,"2022-01-01"
"500-029437",14,"2022-01-01"
"500-014165",14,"2022-01-01"
"500-037245",14,"2022-01-01"
"500-031557",14,"2022-01-01"
"500-042644",14,"2022-01-01"
"500-051630",14,"2022-01-01"
"500-067276",14,"2022-01-01"
"500-044156",14,"2022-01-01"
"500-046737",14,"2022-01-01"
"500-041807",14,"2022-01-01"
"500-052873",14,"2022-01-01"
"500-059967",14,"2022-01-01"
"500-015139",14,"2022-01-01"
"500-002219",14,"2022-01-01"
"500-040202",14,"2022-01-01"
"500-042463",14,"2022-01-01"
"500-061743",14,"2022-01-01"
"500-044371",14,"2022-01-01"
"500-024868",14,"2022-01-01"
"500-067051",14,"2022-01-01"
"500-007336",14,"2022-01-01"
"500-038005",14,"2022-01-01"
"500-003245",14,"2022-01-01"
"500-054538",14,"2022-01-01"
"500-025834",14,"2022-01-01"
"500-034390",14,"2022-01-01"
"500-021947",14,"2022-01-01"
"500-066833",14,"2022-01-01"
"500-000989",14,"2022-01-01"
"500-039019",14,"2022-01-01"
"500-023718",14,"2022-01-01"
